"filename", "language", "JSON", "JavaScript", "comment", "blank", "total"
"c:\Users\vyten\Desktop\MusicBot\Commands\clear.js", "JavaScript", 0, 17, 0, 5, 22
"c:\Users\vyten\Desktop\MusicBot\Commands\execute.js", "JavaScript", 0, 63, 0, 9, 72
"c:\Users\vyten\Desktop\MusicBot\Commands\forceSkip.js", "JavaScript", 0, 12, 0, 1, 13
"c:\Users\vyten\Desktop\MusicBot\Commands\play.js", "JavaScript", 0, 30, 0, 3, 33
"c:\Users\vyten\Desktop\MusicBot\Commands\queueList.js", "JavaScript", 0, 20, 0, 5, 25
"c:\Users\vyten\Desktop\MusicBot\Commands\settings.js", "JavaScript", 0, 12, 0, 1, 13
"c:\Users\vyten\Desktop\MusicBot\Commands\skip.js", "JavaScript", 0, 12, 0, 1, 13
"c:\Users\vyten\Desktop\MusicBot\Commands\stop.js", "JavaScript", 0, 13, 0, 3, 16
"c:\Users\vyten\Desktop\MusicBot\ServerSettings\803958160502030367.json", "JSON", 10, 0, 0, 0, 10
"c:\Users\vyten\Desktop\MusicBot\ServerSettings\defaultSettings.json", "JSON", 10, 0, 0, 0, 10
"c:\Users\vyten\Desktop\MusicBot\ServerSettings\exampleSettings.json", "JSON", 20, 0, 0, 0, 20
"c:\Users\vyten\Desktop\MusicBot\config.json", "JSON", 4, 0, 0, 0, 4
"c:\Users\vyten\Desktop\MusicBot\index.js", "JavaScript", 0, 75, 2, 17, 94
"c:\Users\vyten\Desktop\MusicBot\package-lock.json", "JSON", 3186, 0, 0, 1, 3187
"c:\Users\vyten\Desktop\MusicBot\package.json", "JSON", 20, 0, 0, 1, 21
"c:\Users\vyten\Desktop\MusicBot\queue.js", "JavaScript", 0, 19, 0, 5, 24
"c:\Users\vyten\Desktop\MusicBot\userQueue.js", "JavaScript", 0, 47, 0, 7, 54
"Total", "-", 3250, 320, 2, 59, 3631
